Age,d18O
3.645,3.38
7.99,3.46
11.18,3.765
13.803,4.14
15.886,4.47
17.93,4.99
19.531,4.99
21.612,4.9
23.291,4.56
25.292,4.76
26.982,4.74
28.676,4.64
30.716,4.49
32.542,4.56
33.542,4.48
34.542,4.44
35.619,4.51
37.232,4.35
38.552,4.37
40.165,4.43
42.098,4.33
44.326,4.35
46.331,4.34
49.004,4.46
50.787,4.35
53.06,4.5
54.896,4.33
56.733,4.36
59.386,4.35
61.222,4.47
63.282,4.42
65.857,4.5
68.058,4.48
70.285,4.11
72.878,4.33
75.534,3.98
78.016,4.04
81.514,3.9
85.78,4.06
89.641,4.09
92.552,4.08
95.826,4.01
98.009,3.91
99.203,3.93
103.085,3.76
108.26,4.03
112.767,3.82
115.385,3.4
118.131,3.515
120.419,3.13
122.707,2.98
124.943,3.25
127.473,4.05
131.394,4.185
134.543,4.71
137.692,4.88
140.259,4.37
142.274,4.7
144.246,4.76
146.325,4.69
148.214,4.61
150.104,4.47
151.993,4.595
153.882,4.53
156.187,4.665
158.488,4.675
161.044,4.66
163.345,4.57
165.646,4.47
167.946,4.435
170.219,4.39
172.142,4.305
174.145,4.26
176.243,4.24
178.872,4.325
182.001,4.3
185.118,4.3
187.781,4.46
190.209,4.065
192.156,3.955
194.854,4.03
197.28,4
200.301,3.625
203.534,3.815
206.932,3.71
210.101,3.6
213.09,3.53
216.208,3.455
219.084,3.795
221.579,4.325
224.395,4.41
227.52,4.07
230.36,4.195
233.485,4.055
236.326,3.845
240.091,3.73
243.142,3.74
245.306,4.165
247.618,4.15
250.065,4.42
252.267,4.525
254.469,4.465
256.915,4.51
259.362,4.46
262.054,4.465
264.637,4.38
267.305,4.385
268.417,4.42
269.752,4.27
272.151,4.49
272.707,4.39
275.766,4.48
277.712,4.27
278.547,4.24
280.616,4.045
282.435,4.01
284.005,3.81
284.595,3.87
285.576,3.84
286.362,3.94
287.229,3.95
288.456,3.85
290.839,3.895
293.907,4.12
297.866,4.03
301.023,3.96
303.478,4.14
305.537,3.9
307.693,3.87
309.13,3.83
311.765,3.85
314.88,3.59
316.077,3.8
317.274,3.725
319.189,4.05
319.749,3.74
323.004,3.25
323.787,3.25
326.527,3.36
329.048,3.47
329.52,3.74
333.217,3.73
334.888,3.925
337.301,4.64
337.703,4.28
339.121,4.63
339.526,4.43
