datetime,GISP2,EPICA Dome C CO2
-803719-10-17 10:22:57,,207.29
-803182-03-23 07:19:38,,202.23
-802573-12-30 00:58:49,,204.86
-802060-10-17 05:46:09,,207.5
-801975-05-20 01:52:17,,202.92
-801759-05-31 08:24:16,,202.65
-800922-07-28 12:13:25,,198.66
-799286-08-08 16:53:27,,198.68
-796731-05-10 20:43:30,,200.49
-795429-11-02 12:32:33,,197.91
-794902-01-24 22:11:49,,198.79
-793737-05-03 16:50:39,,204.62
-793172-03-16 01:30:14,,208.79
-791903-11-22 10:19:15,,218.39
-791569-04-07 05:19:27,,213.36
-790667-05-09 13:22:00,,214.45
-790081-11-16 09:52:22,,224.69
-789107-10-08 18:55:49,,230.55
-788689-03-30 10:47:15,,227.38
-788003-08-22 16:40:24,,235.49
-787544-08-10 21:45:39,,238.64
-786742-10-12 05:47:28,,257.02
-786529-05-30 16:33:38,,257.2
-785853-01-29 21:16:31,,266.0
-785405-02-20 07:20:43,,269.36
-784613-05-22 10:30:47,,264.35
-784239-01-17 20:06:46,,262.23
-783569-08-06 23:51:59,,259.66
-783084-07-26 12:05:09,,255.85
-782312-11-19 08:36:17,,260.92
-781248-02-12 19:43:01,,255.02
-780778-03-12 20:59:03,,257.44
-779937-12-18 19:12:01,,251.51
-779613-10-25 11:39:58,,257.21
-778769-03-16 02:29:56,,252.52
-778239-09-21 09:29:24,,254.43
-777417-02-03 09:07:31,,254.69
-777108-08-29 09:47:05,,254.93
-776283-11-07 14:49:30,,252.46
-775732-11-21 16:17:39,,247.3
-774833-12-10 16:15:57,,248.92
-774382-05-19 08:58:13,,245.32
-773588-08-17 23:45:48,,241.74
-773009-10-30 06:31:13,,238.39
-772094-07-02 08:29:14,,239.23
-771734-03-03 00:21:59,,237.78
-771300-10-26 12:53:14,,246.03
-771046-12-30 19:10:38,,243.85
-770788-09-04 09:48:43,,246.49
-770524-01-29 04:53:45,,243.89
-770225-05-18 04:39:29,,239.71
-769863-12-19 08:42:38,,234.24
-769569-04-22 12:13:44,,236.32
-769071-12-19 04:25:30,,229.56
-768649-06-27 01:49:27,,230.63
-767701-03-20 01:33:41,,225.87
-767111-04-02 13:43:43,,221.64
-766167-05-17 00:52:54,,223.82
-765797-06-23 04:11:17,,224.86
-764859-09-21 16:01:13,,230.62
-764238-02-17 13:55:17,,232.12
-763901-02-24 12:08:29,,229.41
-763637-12-29 05:59:44,,233.66
-763232-10-23 14:19:17,,222.93
-762727-09-30 23:49:19,,223.89
-761820-01-18 23:56:09,,219.95
-761152-10-29 16:12:03,,214.0
-760216-08-02 17:09:33,,214.69
-759914-02-19 12:00:00,,216.64
-758990-09-09 04:11:50,,222.71
-758566-07-27 00:54:52,,225.62
-758158-05-11 03:42:15,,225.37
-757928-05-31 18:35:25,,223.02
-757612-09-29 20:08:39,,226.94
-757186-12-08 09:53:20,,222.72
-756412-03-16 05:55:48,,218.35
-755835-03-05 00:55:28,,213.61
-754901-12-11 11:43:41,,209.45
-754616-06-14 13:07:10,,208.1
-753637-10-17 20:11:54,,203.3
-753164-01-16 11:16:45,,199.05
-751985-12-21 16:44:31,,203.9
-751539-07-20 07:35:46,,195.43
-750616-09-27 06:17:17,,197.5
-750024-10-01 07:06:23,,193.55
-749086-05-15 16:28:35,,191.3
-748756-03-06 05:11:11,,192.08
-747864-06-09 05:17:21,,190.17
